Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Upper Final,7414.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Upper Quarterfinals,7412.0,2021
Champions Tour EMEA: Last Chance Qualifier,559,Main Event,1095.0,Upper Semifinals,7413.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 1: Challengers 1,290,Main Event,610.0,Quarterfinals,2744.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,Qualifier,612.0,Round of 128,2738.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,Qualifier,612.0,Round of 256,2737.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,Qualifier,612.0,Round of 64,2739.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,Qualifier Playoffs,611.0,Round of 16,2741.0,2021
Champions Tour Europe Stage 1: Challengers 1,290,Qualifier Playoffs,611.0,Round of 32,2740.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 1: Challengers 2,320,Main Event,654.0,Quarterfinals,3049.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Open Qualifier,653.0,Round of 128,2995.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Open Qualifier,653.0,Round of 256,2994.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Open Qualifier,653.0,Round of 64,2996.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Qualifier Play-in,655.0,Quarterfinals,3011.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Qualifier Playoffs,656.0,Round of 16,3002.0,2021
Champions Tour Europe Stage 1: Challengers 2,320,Qualifier Playoffs,656.0,Round of 32,3001.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 1: Challengers 3,328,Main Event,679.0,Quarterfinals,3111.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,Open Qualifier,676.0,Round of 128,3112.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,Open Qualifier,676.0,Round of 64,3113.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,Qualifier Play-in,678.0,Quarterfinals,3110.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,Qualifier Playoffs,677.0,Round of 16,3115.0,2021
Champions Tour Europe Stage 1: Challengers 3,328,Qualifier Playoffs,677.0,Round of 32,3114.0,2021
Champions Tour Europe Stage 1: Masters,334,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Decider (A),3317.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Decider (B),3318.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Elimination (A),3315.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Elimination (B),3316.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Grand Final,3520.0,2021
