Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Match Name,Match ID,Map,Game ID,Year
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,FULL SENSE vs REJECT,39491,Breeze,51501,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,FULL SENSE vs REJECT,39491,Bind,51502,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,F4Q vs NORTHEPTION,39493,Ascent,51506,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,F4Q vs NORTHEPTION,39493,Icebox,51507,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,NUTURN vs BOOM Esports,39494,Bind,51509,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,NUTURN vs BOOM Esports,39494,Haven,51510,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,Paper Rex vs Global Esports,39492,Icebox,51503,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,Paper Rex vs Global Esports,39492,Split,51504,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,REJECT vs DAMWON Gaming,43112,Bind,52912,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,REJECT vs DAMWON Gaming,43112,Ascent,52913,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,F4Q vs FENNEL,43113,Split,52915,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,F4Q vs FENNEL,43113,Bind,52916,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,F4Q vs FENNEL,43113,Haven,52917,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,NUTURN vs FULL SENSE,43109,Bind,52903,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,NUTURN vs FULL SENSE,43109,Haven,52904,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,NUTURN vs FULL SENSE,43109,Ascent,52905,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,Paper Rex vs NORTHEPTION,43110,Icebox,52906,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,Paper Rex vs NORTHEPTION,43110,Ascent,52907,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 2,7573,BOOM Esports vs DAMWON Gaming,43114,Bind,52918,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 2,7573,BOOM Esports vs DAMWON Gaming,43114,Ascent,52919,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 2,7573,Global Esports vs F4Q,43115,Haven,52921,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 2,7573,Global Esports vs F4Q,43115,Bind,52922,2021
